PluginName,ExecTime
gruvbox-material.vim,12.457
lspconfig.lua,4.479
luasnip.lua,2.318
cmp.lua,1.899
auto-pairs.vim,1.784
activitywatch.vim,0.799
pandoc.vim,0.637
nvim-treesitter.lua,0.606
telescope.lua,0.498
db_ui.vim,0.49
vim_current_word.vim,0.41600000000000004
rsi.vim,0.391
gruvbox_material.vim,0.289
undotree.vim,0.274
boxdraw.vim,0.24
dadbod.vim,0.185
luasnip.vim,0.143
lsp-zero.vim,0.107
nvim-web-devicons.vim,0.078
cmp_nvim_lua.lua,0.069
cmp_buffer.lua,0.056
plenary.vim,0.054
cmp_path.lua,0.053
cmp_nvim_lsp.lua,0.049
treesitter-context.vim,0.023
pandoc-syntax-check.vim,0.017
