PluginName,ExecTime
gruvbox-material.vim,12.462
lspconfig.lua,4.538
cmp.lua,3.164
luasnip.lua,2.404
auto-pairs.vim,1.955
activitywatch.vim,0.807
pandoc.vim,0.73
nvim-treesitter.lua,0.681
telescope.lua,0.529
db_ui.vim,0.493
vim_current_word.vim,0.394
rsi.vim,0.358
undotree.vim,0.272
gruvbox_material.vim,0.271
boxdraw.vim,0.242
dadbod.vim,0.188
luasnip.vim,0.147
cmp_path.lua,0.131
lsp-zero.vim,0.107
nvim-web-devicons.vim,0.078
cmp_nvim_lua.lua,0.066
cmp_buffer.lua,0.063
plenary.vim,0.052
cmp_nvim_lsp.lua,0.051
treesitter-context.vim,0.024
pandoc-syntax-check.vim,0.017
